"","X.1","year","state","state_po","county","FIPS","candidatevotes","totalvotes","TOT_POP","TOT_MALE","TOT_FEMALE","NHWA_MALE","NHWA_FEMALE","MedIncome","area"
"47",40657,2016,"Alabama","AL","Marion",1093,11274,12984,29960,14835,15125,13486,14053,44675,1925.55831420598
"48",40660,2016,"Alabama","AL","Marshall",1095,29233,35316,95113,46863,48250,37305,40057,48913,1614.06969398423
"49",40663,2016,"Alabama","AL","Mobile",1097,95116,172737,414945,198101,216844,115639,122036,49492,3285.83644800103
"50",40666,2016,"Alabama","AL","Monroe",1099,5795,10271,21548,10305,11243,5798,5955,40005,2679.82727535014
"51",40669,2016,"Alabama","AL","Montgomery",1101,34003,95878,227170,107437,119733,38308,40341,52711,2071.59886565893
"52",40672,2016,"Alabama","AL","Morgan",1103,37486,50644,119006,58586,60420,44185,46234,54355,1551.50954132137
"53",40675,2016,"Alabama","AL","Perry",1105,1407,5278,9532,4501,5031,1380,1419,29572,1875.10707617235
"54",40678,2016,"Alabama","AL","Pickens",1107,5456,9542,20325,10139,10186,5512,5406,40249,2304.03826848637
"55",40681,2016,"Alabama","AL","Pike",1109,7693,13168,33464,16094,17370,9213,9592,41271,1743.14562195999
"56",40684,2016,"Alabama","AL","Randolph",1111,7705,10187,22504,10912,11592,8303,8663,42922,1512.55559078111
"57",40687,2016,"Alabama","AL","Russell",1113,9210,19256,58185,28154,30031,13527,13932,43670,1676.4797192269
"58",40693,2016,"Alabama","AL","Shelby",1117,73020,101254,211282,102227,109055,80404,85369,77801,2096.55164211823
"59",40690,2016,"Alabama","AL","St. Clair",1115,31651,38400,87306,43493,43813,37202,38039,65403,1692.87112396483
"60",40696,2016,"Alabama","AL","Sumter",1119,1581,6411,12967,5925,7042,1527,1695,29209,2364.71488450098
"61",40699,2016,"Alabama","AL","Talladega",1121,20614,33407,80552,38993,41559,24756,26071,47719,1969.14194200747
"62",40702,2016,"Alabama","AL","Tallapoosa",1123,13594,19486,40586,19746,20840,13781,14246,47100,1984.88377251987
"63",40705,2016,"Alabama","AL","Tuscaloosa",1125,47723,82700,206464,99549,106915,62931,64972,52307,3500.34780113643
"64",40708,2016,"Alabama","AL","Walker",1127,24266,29472,64533,31522,33011,28051,29501,45991,2085.09103176548
"65",40711,2016,"Alabama","AL","Washington",1129,6042,8533,16621,8161,8460,5362,5438,48864,2819.87087486936
"66",40714,2016,"Alabama","AL","Wilcox",1131,1737,6118,10844,5145,5699,1426,1484,30998,2349.94570893656
"67",40717,2016,"Alabama","AL","Winston",1133,9228,10313,23907,11805,12102,11046,11412,40827,1637.21467619394
"68",40720,2016,"Arizona","AZ","Apache",4001,8240,27661,71381,35235,36146,6692,6432,35386,29057.0627300625
"69",40723,2016,"Arizona","AZ","Cochise",4003,28092,50015,125686,64054,61632,35781,33921,48650,16106.4609247362
"70",40726,2016,"Arizona","AZ","Coconino",4005,21108,59784,140407,69330,71077,38166,38328,58301,48332.8450122854
"71",40729,2016,"Arizona","AZ","Gila",4007,14182,36697,53356,26449,26907,16539,16846,45980,12421.0919625285
"72",40732,2016,"Arizona","AZ","Graham",4009,8025,20306,37807,20250,17557,9899,9267,50685,12018.0799234695
"73",40735,2016,"Arizona","AZ","Greenlee",4011,1892,5192,9643,4973,4670,2399,2183,68066,4787.04005455691
"74",40738,2016,"Arizona","AZ","La Paz",4012,4003,5951,20648,10645,10003,6205,5735,39407,11688.4969976585
"75",40741,2016,"Arizona","AZ","Maricopa",4013,747361,1567834,4256143,2104920,2151223,1169331,1207751,68634,23889.6015184755
"76",40744,2016,"Arizona","AZ","Mohave",4015,58282,79943,205412,103594,101818,79962,79754,49712,34865.1057939642
"77",40747,2016,"Arizona","AZ","Navajo",4017,20577,40294,108467,54357,54110,22639,22182,40676,25795.5307686829
"78",40750,2016,"Arizona","AZ","Pima",4019,167428,421640,1016707,500525,516182,260937,269447,56150,23797.6529640487
"79",40753,2016,"Arizona","AZ","Pinal",4021,72819,129546,417193,217219,199974,120530,118620,62067,13920.2728888662
"80",40756,2016,"Arizona","AZ","Santa Cruz",4023,3897,16433,46400,22280,24120,3494,3400,47779,3207.2007515288
"81",40759,2016,"Arizona","AZ","Yavapai",4025,71330,114450,224575,109881,114694,87946,93205,54242,21052.681896149
"82",40762,2016,"Arizona","AZ","Yuma",4027,25165,53010,207247,106648,100599,34208,31054,47024,14295.7035892607
"83",40765,2016,"Arkansas","AR","Arkansas",5001,3826,6212,18154,8749,9405,6243,6500,52539,2677.3310287642
"84",40768,2016,"Arkansas","AR","Ashley",5003,5338,8083,20530,9958,10572,6870,7111,47744,2436.01289192519
"85",40771,2016,"Arkansas","AR","Baxter",5005,14682,19766,41131,19844,21287,18801,20226,41950,1519.7839480162
"86",40774,2016,"Arkansas","AR","Benton",5007,60871,96824,259212,128503,130709,93498,97736,70775,2289.66707158051
"87",40777,2016,"Arkansas","AR","Boone",5009,12235,16111,37259,18377,18882,17292,17770,50083,1559.2826448728
"88",40780,2016,"Arkansas","AR","Bradley",5011,2164,3653,10959,5350,5609,2950,3145,39982,1690.96606070242
"89",40783,2016,"Arkansas","AR","Calhoun",5013,1556,2269,5143,2603,2540,1898,1834,48415,1638.01663454922
"90",40786,2016,"Arkansas","AR","Carroll",5015,6786,10758,27728,13731,13997,10898,11356,43841,1653.87791573986
"91",40789,2016,"Arkansas","AR","Chicot",5017,1716,4176,10899,5425,5474,2123,2107,37014,1789.59113332802
"92",40792,2016,"Arkansas","AR","Clark",5019,4404,8526,22602,10750,11852,7480,8035,44105,2286.75512733644
"93",40795,2016,"Arkansas","AR","Clay",5021,3781,5200,15060,7371,7689,7012,7386,40686,1662.25441781713
"94",40798,2016,"Arkansas","AR","Cleburne",5023,9458,12085,25173,12412,12761,11756,12115,46214,1533.0106800145
"95",40801,2016,"Arkansas","AR","Cleveland",5025,2462,3354,8245,4055,4190,3449,3541,53773,1550.83772678369
"96",40804,2016,"Arkansas","AR","Columbia",5027,5456,8887,24026,11618,12408,7057,7213,42964,1986.10829502905
"97",40807,2016,"Arkansas","AR","Conway",5029,4849,7927,20874,10266,10608,8388,8693,46924,1467.71245695165
"98",40810,2016,"Arkansas","AR","Craighead",5031,22892,35573,105932,51696,54236,39663,41787,47766,1845.75185397979
"99",40813,2016,"Arkansas","AR","Crawford",5033,16686,22450,62263,30723,31540,25995,26711,44600,1561.94536857216
"100",40816,2016,"Arkansas","AR","Crittenden",5035,6964,15952,49306,23436,25870,10290,10718,41976,1648.16882899058
"101",40819,2016,"Arkansas","AR","Cross",5037,4584,6874,17025,8222,8803,6027,6357,45273,1611.61943748341
"102",40822,2016,"Arkansas","AR","Dallas",5039,1509,2771,7399,3640,3759,1945,1963,41314,1729.98729127888
"103",40825,2016,"Arkansas","AR","Desha",5041,1919,4257,11905,5630,6275,2598,2850,37005,2121.89599711044
"104",40828,2016,"Arkansas","AR","Drew",5043,3968,6595,18553,9042,9511,6111,6282,44162,2164.44728926017
"105",40831,2016,"Arkansas","AR","Faulkner",5045,29346,47527,122206,59828,62378,48366,50253,58482,1719.66247864773
"106",40834,2016,"Arkansas","AR","Franklin",5047,5039,6770,17655,8821,8834,8134,8188,45670,1605.02028247662
"107",40837,2016,"Arkansas","AR","Fulton",5049,3471,4772,12099,5983,6116,5695,5821,32926,1606.50073176257
"108",40840,2016,"Arkansas","AR","Garland",5051,26087,40805,98282,47388,50894,38746,42181,45786,1902.8727959747
"109",40843,2016,"Arkansas","AR","Grant",5053,5725,7445,18064,8987,9077,8304,8456,58566,1639.2432398066
"110",40846,2016,"Arkansas","AR","Greene",5055,10720,14600,44730,21988,22742,20477,21271,47098,1500.04456795374
"111",40849,2016,"Arkansas","AR","Hempstead",5057,4401,7049,22032,10644,11388,5913,6199,40867,1919.72122189102
"112",40852,2016,"Arkansas","AR","Hot Spring",5059,8172,11944,33438,17410,16028,14254,13461,45860,1611.07399279309
"113",40855,2016,"Arkansas","AR","Howard",5061,3157,4674,13350,6421,6929,4168,4458,41427,1541.67203432856
"114",40858,2016,"Arkansas","AR","Independence",5063,9936,13614,37117,18099,19018,16069,16997,47903,1998.48202349565
"115",40861,2016,"Arkansas","AR","Izard",5065,4042,5448,13488,7001,6487,6422,6146,40233,1512.53511673745
"116",40864,2016,"Arkansas","AR","Jackson",5067,3267,5156,17282,8531,8751,6519,6784,38636,1661.2508398463
"117",40867,2016,"Arkansas","AR","Jefferson",5069,9250,25894,70407,34864,35543,13987,13570,40555,2366.9908749063
"118",40870,2016,"Arkansas","AR","Johnson",5071,6091,9112,26127,12970,13157,10254,10689,40396,1768.39608644771
"119",40873,2016,"Arkansas","AR","Lafayette",5073,1758,2860,6888,3357,3531,2022,2034,37164,1411.66011776503
"120",40876,2016,"Arkansas","AR","Lawrence",5075,4064,5685,16639,8222,8417,7826,8061,39604,1533.82761870156
"121",40879,2016,"Arkansas","AR","Lee",5077,1229,3026,9337,5253,4084,2280,1539,30421,1604.26549846627
"122",40882,2016,"Arkansas","AR","Lincoln",5079,2455,3826,13728,8472,5256,5020,3791,44272,1481.92910140929
"123",40885,2016,"Arkansas","AR","Little River",5081,3605,5227,12406,6042,6364,4462,4586,43257,1462.80012176309
"124",40888,2016,"Arkansas","AR","Logan",5083,5746,7921,21732,10818,10914,9775,9943,42249,1894.71295450202
"125",40891,2016,"Arkansas","AR","Lonoke",5085,19958,27100,71803,35513,36290,30568,31375,62782,2079.2650661242
"126",40894,2016,"Arkansas","AR","Madison",5087,4928,6841,16112,8036,8076,7180,7251,48016,2167.95675729434
"127",40897,2016,"Arkansas","AR","Marion",5089,5336,7107,16376,8080,8296,7640,7817,38760,1658.34332953341
"128",40900,2016,"Arkansas","AR","Miller",5091,11294,16091,43713,21553,22160,14989,15158,50905,1651.61976179262
"129",40903,2016,"Arkansas","AR","Mississippi",5093,7061,13204,42900,20884,22016,12425,12654,39990,2381.69116347825
"130",40906,2016,"Arkansas","AR","Monroe",5095,1489,2884,7205,3391,3814,1855,2039,34289,1609.30677613887
"131",40909,2016,"Arkansas","AR","Montgomery",5097,2643,3559,8936,4465,4471,4090,4052,39591,2071.38775660821
"132",40912,2016,"Arkansas","AR","Nevada",5099,2000,3246,8378,4167,4211,2652,2653,36528,1607.58727911468
"133",40915,2016,"Arkansas","AR","Newton",5101,2875,3753,7848,3988,3860,3766,3622,37648,2132.04164946078
"134",40918,2016,"Arkansas","AR","Ouachita",5103,5351,9935,24013,11390,12623,6492,6826,46393,1916.07592363534
"135",40921,2016,"Arkansas","AR","Perry",5105,3008,4306,10286,5107,5179,4702,4815,50560,1452.04286174169
"136",40924,2016,"Arkansas","AR","Phillips",5107,2446,6953,19050,8983,10067,3265,3343,31521,1884.21575311201
"137",40927,2016,"Arkansas","AR","Pike",5109,3150,3981,10826,5422,5404,4691,4764,44426,1591.85626801286
"138",40930,2016,"Arkansas","AR","Poinsett",5111,5502,7722,23974,11647,12327,10151,10748,40536,1977.93002735972
"139",40933,2016,"Arkansas","AR","Polk",5113,6618,8231,20145,9834,10311,8640,9134,39722,2234.18625611696
"140",40936,2016,"Arkansas","AR","Pope",5115,16256,22569,63897,31611,32286,26435,27414,47519,2151.52275430088
"141",40939,2016,"Arkansas","AR","Prairie",5117,2505,3444,8252,4124,4128,3524,3476,46205,1749.71156947068
"142",40942,2016,"Arkansas","AR","Pulaski",5119,61257,159776,394151,188594,205557,101153,107121,52684,2092.00999050982
"143",40945,2016,"Arkansas","AR","Randolph",5121,4509,6379,17444,8640,8804,8188,8376,42875,1699.07716503709
"144",40951,2016,"Arkansas","AR","Saline",5125,35863,52100,117656,57730,59926,49287,51182,66944,1891.70116547452
"145",40954,2016,"Arkansas","AR","Scott",5127,2731,3510,10332,5258,5074,4427,4322,38065,2325.77465463166
"146",40957,2016,"Arkansas","AR","Searcy",5129,2955,3728,7968,4013,3955,3744,3712,34712,1731.53211594888
"147",40960,2016,"Arkansas","AR","Sebastian",5131,29127,44637,127385,62333,65052,43392,46027,48945,1417.29058262737
"148",40963,2016,"Arkansas","AR","Sevier",5133,3282,4562,16971,8465,8506,4805,5044,43493,1505.47021867425
"149",40966,2016,"Arkansas","AR","Sharp",5135,5407,7249,17007,8385,8622,7808,8126,37591,1570.55184917254
"150",40948,2016,"Arkansas","AR","St. Francis",5123,3195,7430,26347,14417,11930,5798,4804,34389,1664.05102113411
"151",40969,2016,"Arkansas","AR","Stone",5137,4113,5618,12509,6153,6356,5837,6029,36930,1578.63894713566
"152",40972,2016,"Arkansas","AR","Union",5139,10456,16894,39879,19431,20448,11989,12323,46602,2733.88865142998
"153",40975,2016,"Arkansas","AR","Van Buren",5141,5382,7339,16669,8249,8420,7692,7908,38096,1875.77614202789
"154",40978,2016,"Arkansas","AR","Washington",5143,41476,81861,228482,114208,114274,80739,82742,52158,2466.7755166609
"155",40981,2016,"Arkansas","AR","White",5145,21077,27219,78917,38452,40465,33703,35958,46388,2699.15253698541
"156",40984,2016,"Arkansas","AR","Woodruff",5147,1347,2571,6600,3142,3458,2199,2389,36568,1538.6443136011
"157",40987,2016,"Arkansas","AR","Yell",5149,4608,6439,21502,10788,10714,8043,8255,44469,2457.69662084371
"158",40990,2016,"California","CA","Alameda",6001,95922,654266,1650950,810926,840024,264347,265385,107589,1944.99219374413
"159",40993,2016,"California","CA","Alpine",6003,217,602,1047,554,493,379,328,58112,1924.41705394852
"160",40996,2016,"California","CA","Amador",6005,10485,17734,37429,19839,17590,15072,14511,62640,1569.51372186952
"161",40999,2016,"California","CA","Butte",6007,45144,95564,226231,111821,114410,80509,83990,58394,4343.72732973869
"162",41002,2016,"California","CA","Calaveras",6009,13511,23136,45322,22591,22731,18431,18654,68248,2685.74321677918
"163",41005,2016,"California","CA","Colusa",6011,3551,6632,21496,10978,10518,3831,3937,59048,2995.027598211
"164",41008,2016,"California","CA","Contra Costa",6013,115956,466175,1137268,555612,581656,250133,258466,106555,1969.81998512355
"165",41011,2016,"California","CA","Del Norte",6015,5134,9558,27382,14885,12497,8641,8600,48979,2629.29923463675
"166",41014,2016,"California","CA","El Dorado",6017,49247,93591,185976,92659,93317,72768,72991,86202,4626.65338348014
"167",41017,2016,"California","CA","Fresno",6019,124049,282319,976830,487152,489678,142798,150099,56926,15568.3589135206
"168",41020,2016,"California","CA","Glenn",6021,5788,9470,27840,14115,13725,7172,7285,55682,3435.42772370692
"169",41023,2016,"California","CA","Humboldt",6023,18373,59246,136290,67998,68292,50884,51060,51134,9351.92833076236
"170",41026,2016,"California","CA","Imperial",6025,12704,48091,180179,92077,88102,10760,9047,48102,11606.6174804296
"171",41029,2016,"California","CA","Inyo",6027,4248,8086,17922,8998,8924,5715,5616,59605,26491.7061592414
"172",41032,2016,"California","CA","Kern",6029,129584,244163,880856,451394,429462,155249,152837,53245,21139.0234849928
"173",41035,2016,"California","CA","Kings",6031,18093,33915,149382,82312,67070,26928,22225,57297,3604.20133952446
"174",41038,2016,"California","CA","Lake",6033,10599,24496,63903,31850,32053,22439,23120,46897,3442.99156557563
"175",41041,2016,"California","CA","Lassen",6035,7574,10524,30721,19142,11579,11516,8848,53613,12226.6373706447
"176",41044,2016,"California","CA","Los Angeles",6037,769743,3434308,10105708,4980373,5125335,1350361,1333037,72721,10621.5917915878
"177",41047,2016,"California","CA","Madera",6039,23357,43112,153956,74383,79573,25359,28256,61105,5575.67517684463
"178",41050,2016,"California","CA","Marin",6041,21771,139273,260562,127096,133466,90773,97329,112069,1408.80481169271
"179",41053,2016,"California","CA","Mariposa",6043,5185,8877,17456,8879,8577,7126,6962,52760,3789.12322964298
"180",41056,2016,"California","CA","Mendocino",6045,10888,37477,87285,43319,43966,27997,29292,52309,9102.60343552275
"181",41059,2016,"California","CA","Merced",6047,28725,70789,267628,134757,132871,37474,38658,59733,5124.84403784983
"182",41062,2016,"California","CA","Modoc",6049,2696,3788,8961,4526,4435,3504,3462,45311,10886.9726022029
"183",41065,2016,"California","CA","Mono",6051,2111,5276,14273,7558,6715,5002,4410,66226,8109.86536493013
"184",41068,2016,"California","CA","Monterey",6053,34895,133408,433953,221571,212382,65668,66205,76509,8587.39320716105
"185",41071,2016,"California","CA","Napa",6055,17411,61372,140840,70115,70725,36694,38411,90230,2042.40759304798
"186",41074,2016,"California","CA","Nevada",6057,23365,54935,98913,48639,50274,41461,43155,69550,2523.02299862279
"187",41077,2016,"California","CA","Orange",6059,507148,1197521,3164986,1562493,1602493,646554,657913,95761,2069.48630335207
"188",41080,2016,"California","CA","Placer",6061,95138,182839,378943,184811,194132,135559,142650,97688,3891.29660115918
"189",41083,2016,"California","CA","Plumas",6063,5420,9676,18665,9329,9336,7781,7841,59376,6768.45391434577
"190",41086,2016,"California","CA","Riverside",6065,333243,751391,2380081,1184681,1195400,428579,434170,72905,18914.6411810135
"191",41089,2016,"California","CA","Sacramento",6067,189789,559330,1510987,738114,772873,334158,353745,71891,2575.26086120931
"192",41092,2016,"California","CA","San Benito",6069,7841,21924,59225,29667,29558,10389,10500,84209,3601.76986753653
"193",41095,2016,"California","CA","San Bernardino",6071,271240,653983,2131960,1060947,1071013,313638,312693,67398,52074.0698860433
"194",41098,2016,"California","CA","San Diego",6073,477766,1306400,3306089,1664729,1641360,782168,742152,83576,11032.2538032751
"195",41101,2016,"California","CA","San Francisco",6075,37688,405792,871512,444409,427103,194142,163692,121795,127.263921660673
"196",41104,2016,"California","CA","San Joaquin",6077,88936,224166,732809,365315,367494,118398,121905,68458,3694.97185559829
"197",41107,2016,"California","CA","San Luis Obispo",6079,56164,135009,281803,142929,138874,96909,98531,76599,8608.44478153356
"198",41110,2016,"California","CA","San Mateo",6081,57929,314384,767906,379087,388819,154610,152195,135234,1186.43446057521
"199",41113,2016,"California","CA","Santa Barbara",6083,56365,176786,444340,222450,221890,98433,101958,74530,7126.54137675179
"200",41116,2016,"California","CA","Santa Clara",6085,144826,703709,1928368,973257,955111,319002,303528,132444,3367.61052807923
"201",41119,2016,"California","CA","Santa Cruz",6087,22438,128821,274396,136089,138307,78438,80362,85770,1157.29341031106
"202",41122,2016,"California","CA","Shasta",6089,51778,80053,178571,87722,90849,70159,73394,61464,9964.54437299508
"203",41125,2016,"California","CA","Sierra",6091,1048,1830,2951,1487,1464,1239,1255,55862,2492.09889858181
"204",41128,2016,"California","CA","Siskiyou",6093,11341,20492,43376,21600,21776,16477,16770,45954,16440.2322217195
"205",41131,2016,"California","CA","Solano",6095,51920,166113,438858,218215,220643,85558,85121,85704,2305.11017269578
"206",41134,2016,"California","CA","Sonoma",6097,51408,231253,502547,245584,256963,155003,167429,87084,4122.9801491281
"207",41137,2016,"California","CA","Stanislaus",6099,78494,172146,539255,266723,272532,111988,118593,62761,3920.94371385471
"208",41140,2016,"California","CA","Sutter",6101,18176,33523,95742,47643,48099,21873,23069,60910,1576.08734397633
"209",41143,2016,"California","CA","Tehama",6103,15494,23908,63453,31514,31939,21411,22281,51672,7673.96156145634
"210",41146,2016,"California","CA","Trinity",6105,2812,5686,12828,6593,6235,5463,5173,43881,8307.43583356068
"211",41149,2016,"California","CA","Tulare",6107,58299,112334,459235,229573,229662,65187,69142,56776,12532.5657394662
"212",41152,2016,"California","CA","Tuolumne",6109,14551,25529,53770,27899,25871,21743,21565,64729,5890.69678395963
"213",41155,2016,"California","CA","Ventura",6111,132323,351726,847323,419522,427801,191612,197824,91446,4810.88474115491
"214",41158,2016,"California","CA","Yolo",6113,20739,82090,215627,104850,110777,49214,52620,70951,2650.36437375047
"215",41161,2016,"California","CA","Yuba",6115,13170,22998,74952,37971,36981,21107,20882,56607,1667.93883230355
"216",41164,2016,"Colorado","CO","Adams",8001,80082,193665,497734,250876,246858,126062,126312,75341,3065.28956179635
"217",41167,2016,"Colorado","CO","Alamosa",8003,3046,6939,16053,8058,7995,3879,3880,38213,1872.56509522119
"218",41170,2016,"Colorado","CO","Arapahoe",8005,117053,303046,638950,315745,323205,192026,197687,82364,2086.0334367229
"219",41173,2016,"Colorado","CO","Archuleta",8007,4264,7339,12825,6450,6375,4974,4906,57604,3509.09521537924
"220",41176,2016,"Colorado","CO","Baca",8009,1753,2153,3530,1760,1770,1475,1536,38945,6624.19723394379
"221",41179,2016,"Colorado","CO","Bent",8011,1188,1927,5833,3820,2013,1996,1318,35764,3991.97673757965
"222",41182,2016,"Colorado","CO","Boulder",8013,41396,188142,321250,161517,159733,126080,124450,88341,1918.06754203857
"223",41185,2016,"Colorado","CO","Broomfield",8014,14367,37689,66513,32962,33551,25613,25942,106892,86.9809170859011
"224",41188,2016,"Colorado","CO","Chaffee",8015,5391,11250,19110,10210,8900,8341,7905,60331,2629.52703900488
"225",41191,2016,"Colorado","CO","Cheyenne",8017,925,1102,1850,914,936,753,798,52337,4614.82217643684
"226",41194,2016,"Colorado","CO","Clear Creek",8019,2575,5866,9353,4920,4433,4365,3978,79900,1026.1703475198
"227",41197,2016,"Colorado","CO","Conejos",8021,1914,4022,8050,4041,4009,1755,1807,40944,3343.80130475095
"228",41200,2016,"Colorado","CO","Costilla",8023,588,1848,3693,1935,1758,676,561,34731,3187.76512143377
"229",41203,2016,"Colorado","CO","Crowley",8025,1079,1527,5285,3691,1594,1855,1076,38224,2070.52180063388
"230",41206,2016,"Colorado","CO","Custer",8027,2061,3066,4588,2358,2230,2107,2044,57381,1916.04372905878
"231",41209,2016,"Colorado","CO","Delta",8029,11655,16790,30346,15219,15127,12152,12523,51525,2974.7238683874
"232",41212,2016,"Colorado","CO","Denver",8031,62690,331852,696159,348861,347298,188957,187202,75456,401.351350390496
"233",41215,2016,"Colorado","CO","Dolores",8033,944,1255,2056,1082,974,949,866,50232,2764.85961761362
"234",41218,2016,"Colorado","CO","Douglas",8035,102573,187499,328219,163609,164610,136327,136675,123697,2183.02354706442
"235",41221,2016,"Colorado","CO","Eagle",8037,8990,25223,54541,28935,25606,19564,17174,89268,4383.36920192476
"236",41227,2016,"Colorado","CO","El Paso",8041,179228,318967,688277,347955,340322,242848,237662,72675,5516.26290235269
"237",41224,2016,"Colorado","CO","Elbert",8039,11705,15978,25157,12623,12534,11268,11119,101733,4793.01372510132
"238",41230,2016,"Colorado","CO","Fremont",8043,15122,21973,46976,27114,19862,19910,17323,52239,3972.42974970373
"239",41233,2016,"Colorado","CO","Garfield",8045,13132,26470,58785,29931,28854,20451,20001,73788,7654.85274022305
